"STATION","NAME","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-23",,," 1454",,"58","41",,,,"  225",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-24",,," 1530",,"61","39",,,,"  315",,,,,"18.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-25",,," 1436",,"64","47",,,,"  248",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-26",,," 1754",,"57","45",,,,"  180",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-27",,," 1442",,"59","48",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-28",,," 1512",,"60","46",,,,"  293",,,,,"35.6",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-29",,," 1854",,"65","46",,,,"  270",,,,,"34.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-30",,," 1518",,"61","49",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-01",,," 2248",,"64","47",,,,"  293",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-02",,," 0112",,"59","49",,,,"  293",,,,,"34.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-03",,," 2354",,"60","48",,,,"  270",,,,,"20.8",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-04",,," 1936",,"61","47",,,,"  293",,,,,"35.6",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-05",,," 1442",,"65","44",,,,"  293",,,,,"34.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-06",,," 1718",,"70","47",,,,"  293",,,,,"35.6",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-07",,," 1554",,"71","52",,,,"  293",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-08",,," 1624",,"63","50",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-09",,," 1936",,"71","46",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-10",,," 1654",,"74","52",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-11",,," 1724",,"73","54",,,,"  293",,,,,"24.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-12",,," 1936",,"68","53",,,,"  293",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-13",,," 1854",,"67","48",,,,"  270",,,,,"34.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-14",,," 1754",,"64","51",,,,"  248",,,,,"50.6",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-15",,," 1736",,"62","50",,,,"  270",,,,,"46.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-16",,," 1554",,"64","50",,,,"  293",,,,,"40.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-17",,," 1448",,"64","48",,,,"  293",,,,,"54.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-18",,," 1800",,"66","48",,,,"  293",,,,,"39.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-19",,," 1824",,"76","47",,,,"  293",,,,,"34.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-20",,," 1024",,"66","49",,,,"  270",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-21",,," 1554",,"62","47",,,,"  270",,,,,"40.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-22",,," 1342",,"63","45",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-23",,," 1354",,"60","50",,,,"  203",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-24",,," 1206",,"64","51",,,,"  203",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-25",,," 1512",,"73","55",,,,"  293",,,,,"21.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-26",,," 1618",,"73","52",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-27",,," 1724",,"71","52",,,,"  293",,,,,"36.7",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-28",,," 1412",,"65","51",,,,"  270",,,,,"36.7",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-29",,," 0830",,"60","52",,,,"  270",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-30",,," 1436",,"77","49",,,,"  293",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-05-31",,," 1648",,"81","51",,,,"  293",,,,,"33.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-01",,," 1524",,"87","55",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-02",,," 1736",,"102","58",,,,"  293",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-03",,," 1612",,"87","57",,,,"  315",,,,,"26.4",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-04",,," 1548",,"83","57",,,,"  203",,,,,"16.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-05",,," 1518",,"78","58",,,,"  225",,,,,"33.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-06",,," 1524",,"71","58",,,,"  248",,,,,"25.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-07",,," 1230",,"71","54",,,,"  293",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-08",,," 1506",,"71","53",,,,"  293",,,,,"23.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-09",,," 1524",,"72","50",,,,"  315",,,,,"27.5",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-10",,," 1554",,"69","53",,,,"  293",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-11",,," 1412",,"74","52",,,,"  315",,,,,"30.0",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-12",,," 1406",,"70","52",,,,"  293",,,,,"28.9",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-13",,," 1742",,"79","50",,,,"  315",,,,,"31.1",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-14",,," 1718",,"80","53",,,,"  293",,,,,"33.3",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-15",,," 1406",,"80","56",,,,"  293",,,,,"32.2",
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-06-16",,," 1430",,"79","56",,,,"  338",,,,,"18.3",
